callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1,altitude_1,latitude_2,longitude_2,altitude_2
HVN19,,888152,,,YMML,LFPG,2018-12-31 00:43:16+00:00,2019-01-01 04:56:29+00:00,2019-01-01 00:00:00+00:00,-37.65948486,144.8044213,304.8,48.99531555,2.610802284,-53.34
CCA839,,780ad1,,,YMML,LEBL,2018-12-31 00:53:08+00:00,2019-01-01 06:01:42+00:00,2019-01-01 00:00:00+00:00,-37.69212341,144.8419969,304.8,41.0361235,2.063557018,1112.52
CES219,,780b7e,B-5936,A332,YSSY,EDDF,2018-12-31 01:05:29+00:00,2019-01-01 04:09:29+00:00,2019-01-01 00:00:00+00:00,-33.9309082,151.1719871,0,50.04556274,8.588923404,-15.24
AEA040,,34444e,EC-LVL,A332,LEMD,LEMD,2018-12-31 01:07:21+00:00,2019-01-01 03:32:59+00:00,2019-01-01 00:00:00+00:00,40.5347559,-3.575425581,609.6,40.47572766,-3.538346724,411.48
CXA825,,780d75,B-2760,B788,YSSY,LFPG,2018-12-31 01:18:29+00:00,2019-01-01 04:32:28+00:00,2019-01-01 00:00:00+00:00,-33.95425415,151.1780408,0,48.99609065,2.6258047,22.86
TGW700,,76bcca,9V-OFJ,B788,,RJBB,2018-12-31 01:30:50+00:00,2019-01-01 08:19:13+00:00,2019-01-01 00:00:00+00:00,34.64124259,140.9423447,8534.4,34.44935427,135.2371788,-99.06
CLU211,,406ea3,G-CLAA,B744,UUEE,EDDF,2018-12-31 01:49:28+00:00,2019-01-01 04:11:38+00:00,2019-01-01 00:00:00+00:00,55.96755981,37.37132679,304.8,50.04440049,8.583736935,-30.48
CSN609,,781364,,,,KLAX,2018-12-31 02:28:27+00:00,2019-01-01 04:53:37+00:00,2019-01-01 00:00:00+00:00,37.04292297,114.8386854,10972.8,33.95205688,-118.3836271,129.54
CSN679,,780db0,B-5967,A333,,LTBA,2018-12-31 03:08:15+00:00,2019-01-01 02:09:11+00:00,2019-01-01 00:00:00+00:00,37.00288417,114.8427151,10972.8,40.80418396,28.71447754,2011.68
ETH704,,04004b,ET-AOU,B788,KLDJ,LFPG,2018-12-31 03:31:48+00:00,2019-01-01 04:30:10+00:00,2019-01-01 00:00:00+00:00,40.5845668,-74.22831449,609.6,48.9960022,2.623408391,0
SVA872,,710058,HZ-AK16,B77W,WIII,RPLL,2018-12-31 04:00:49+00:00,2019-01-01 05:54:59+00:00,2019-01-01 00:00:00+00:00,-6.123714124,106.6321643,0,14.49194439,120.9895405,99.06
SIA336,,76ceef,9V-SWO,B77W,,LFPG,2018-12-31 04:11:03+00:00,2019-01-01 06:02:46+00:00,2019-01-01 00:00:00+00:00,36.81262517,126.5905502,7620,49.02726746,2.571575458,0
SVA840,,710411,,,WMKK,WMKK,2018-12-31 04:20:10+00:00,2019-01-01 02:06:08+00:00,2019-01-01 00:00:00+00:00,2.750259658,101.6932889,0,2.696445271,101.7293733,114.3
LAN600,,e8027b,CC-BBG,B788,SKBO,KLAX,2018-12-31 04:21:52+00:00,2019-01-01 01:51:44+00:00,2019-01-01 00:00:00+00:00,4.701077736,-74.13578954,2133.6,33.93704224,-118.385589,45.72
HVN55,,8880f8,VN-A868,B789,YSSY,EGLL,2018-12-31 04:37:28+00:00,2019-01-01 06:44:42+00:00,2019-01-01 00:00:00+00:00,-33.95539856,151.1783211,0,51.46499634,-0.433291873,-137.16
AAR551,,71bf94,HL7794,A333,,LTBA,2018-12-31 04:39:37+00:00,2019-01-01 12:24:25+00:00,2019-01-01 00:00:00+00:00,34.84048617,126.8343544,9448.8,40.81745911,28.74291992,1463.04
CPA343,,789202,B-LRU,A359,YMML,EGKK,2018-12-31 04:51:50+00:00,2019-01-01 05:00:27+00:00,2019-01-01 00:00:00+00:00,-37.68667603,144.841354,304.8,51.15701294,-0.126342773,83.82
AAL126P,,a999d2,N718AN,B77W,KLAX,KDFW,2018-12-31 04:58:34+00:00,2019-01-01 12:40:21+00:00,2019-01-01 00:00:00+00:00,33.93406755,-118.4346199,304.8,32.86500549,-97.05102539,175.26
LAN706,,e80450,CC-BGJ,B789,KJFK,LEMD,2018-12-31 05:28:58+00:00,2019-01-01 11:33:55+00:00,2019-01-01 00:00:00+00:00,40.57997131,-73.72772217,304.8,40.47153796,-3.562441739,434.34
CCA985,,780cb8,B-2487,B748,,KSFO,2018-12-31 05:35:46+00:00,2019-01-01 18:57:51+00:00,2019-01-01 00:00:00+00:00,36.84580994,111.3300133,8839.2,37.61900304,-122.3756939,-99.06
BAW16,,406b0a,G-STBK,B77W,YSSY,EGLL,2018-12-31 05:50:41+00:00,2019-01-01 05:18:06+00:00,2019-01-01 00:00:00+00:00,-33.93351746,151.1727158,0,51.46495056,-0.433737265,-129.54
QTR815,,06a2c4,,,OTHH,OTHH,2018-12-31 06:05:21+00:00,2019-01-01 02:28:59+00:00,2019-01-01 00:00:00+00:00,25.3052844,51.60444152,0,25.2334543,51.61511691,83.82
THA936,,885221,HS-TQA,B788,WIII,LOWW,2018-12-31 06:06:12+00:00,2019-01-01 05:49:56+00:00,2019-01-01 00:00:00+00:00,-6.119064331,106.6441009,0,48.12008286,16.54549599,
DAL158,,a65449,N507DN,,,MI39,2018-12-31 06:06:14+00:00,2019-01-01 13:46:56+00:00,2019-01-01 00:00:00+00:00,33.84786987,-84.3697871,2743.2,42.13041687,-83.58267351,1257.3
UAE393,,896109,A6-ECB,B77W,OMDB,OMDB,2018-12-31 06:09:14+00:00,2019-01-01 00:28:53+00:00,2019-01-01 00:00:00+00:00,25.24563935,55.37736425,-304.8,25.23894746,55.3803829,-53.34
QFA1,,7c4923,VH-OQD,A388,YSSY,EGLL,2018-12-31 06:28:52+00:00,2019-01-01 06:03:57+00:00,2019-01-01 00:00:00+00:00,-33.95143153,151.1773109,0,51.47772217,-0.42742755,-106.68
AAR561,,71bf00,HL7700,B772,KORD,LIRF,2018-12-31 06:29:22+00:00,2019-01-01 15:15:26+00:00,2019-01-01 00:00:00+00:00,41.97815459,-87.97359733,914.4,41.74623134,12.25524902,190.5
